particle	x_0	y_0	delta x	delta y	stable?
0	0.348013135181863350690146476633526053	0.0698711243910172893572961354062158335	5.04891199192205287056877939933709712e-06	-7.82081710935027219129012257539766228e-05	True
1	0.84874419541399476767660357139446985	0.159003183399386984380676507711270672	1.64942760003089041973860664697815253e-05	0.000105796620061680264863955220279348585	True
2	0.457802647353932025939413512523359891	0.883948372963452405024315023654915795	8.38422073572414456605212348437755332e-05	-3.25515029146676172979774249111861042e-05	True
3	0.0107318620704169714720137406364788276	0.326527452352524789757002159231792981	0.000101784357298446122296889765817925992	4.63355130990130123920749747891544489e-05	True
4	0.203983583245929941583920790812980636	0.800065260222417197395736986314641585	4.94876887782669658713565047836837846e-05	3.6680510509548681427059921021873738e-05	True
5	0.838317370413987057559536607800870738	0.498062849832643464731360116936568363	-1.13458043659135282293402495324593108e-05	-6.81992464424416926048012441494782886e-05	True
6	0.914108553573805762703491707640231428	0.914610333171365098224122147085251082	3.30429942867538051139454913292961736e-05	-1.42392469986417011309593077745414271e-06	True
7	0.236682207102712439660002139545366027	0.27968177125258432385901381248974999	8.47318614568394535827831911022478173e-05	-4.41726346226042325652730220024686055e-05	True
8	0.936228906148546268148484049135574437	0.709745568839036328055673311312516286	-0.000126807040498752883538027451137471939	-1.32692950998321567786235780058832422e-05	True
9	0.46838651580247738692775179407959157	0.697254172228816781325646815744790032	-1.21009013228971954173407562678766252e-06	-3.73797286356599970082198564493451276e-05	True
10	0.576699177696854453695804979797365458	0.29961173987797435327618491625153539	-5.73119947698105876979437625364210059e-05	-1.21299250437472572761361714957584033e-05	True
11	0.321096907007060777106043664601146818	0.513189805262644006215800270745538185	-4.67770692183277825288178549703051803e-05	6.57112569350427179629298860151447988e-07	True
12	0.63381198455519165529997766795040958	0.594504397174227286377812344927855399	-3.81153662507310177996999639646313056e-06	-4.24585272781200198835126878545383216e-05	True
13	0.675277908887741052838004855521761296	0.96914917745396494127155532622261896	5.13109852182592003162950736105054076e-05	5.95780500466508807350681909412532132e-05	True
14	0.746373240894658128215881285465835698	0.745559163999852154370216983161583883	-0.000109910522870411683078214031444035021	2.43043251947265871642644105209069442e-05	True
15	0.0729763935478267319702451962174641211	0.544084974524796597318632804136755679	-3.30455508514235465769992666979514316e-05	7.86197863177462033541455133125333379e-05	True
16	0.0846913243067865953053712673032710429	0.0840487131370289641535109417442281504	8.06843351819664069360111040622695861e-07	2.08954262299776151875844046154323373e-05	True
