particle	x_0	y_0	delta x	delta y	stable?
0	0.47560142352776497640717923209052406	0.662150541106003602353998362267355004	0.0323678212428704645820348095741926442	0.0190999281590833492658372700864391619	True
1	0.983909108714853968428707023383703139	0.119976308793159098898095457980677321	-0.0135373577935925699158620371322706894	-0.00741475467737955289412256435051860555	True
2	0.987418429711019872763544530883395179	0.837950868715241725243901277667313748	0.0171679690231208512507722160556856461	-0.00745364162085329864210662639980622052	True
3	0.277614471944445812136967605380071602	0.901881924206609087806334355579249897	0.0147571037832248879875951042047479313	-0.00996351388209980832049791184043276082	True
4	0.691953940358317395634943776752157888	0.887210879563535650137729857885778594	0.0250981885998542016712408791545181506	0.0245068273742220896751760368000498918	True
5	0.300655717787433324426075065042992831	0.384608293944392459616121803775579824	-0.0145500371479006494052742582338112877	-0.0230090185761104517515572930955700709	True
6	0.725806791583645256754962732864987075	0.155281322014027153703897070675024876	-0.00363758053456101441722739598911553157	0.0260860083858063334151454740960922308	True
7	0.487385686937880983380407275234769493	0.0982025872137850576304758132223089299	0.00304763880163486082709716086054275662	0.00434332069817028583579671701830887125	True
8	0.172246610340998500932948647663453901	0.618326783366648106853241068058321176	0.0123337920430752302940409008325254878	-0.0118791978295395689852288430483510151	True
9	0.0591215291993372752401485296604207909	0.376163136622345827240195209931369825	-0.0141433796448915688056504496875449077	-0.00313203928330535821243152556196249445	True
10	0.82978617905131597669297824184464295	0.570461383458953670428433673980134951	-0.00552500999168241123222477111519685691	0.00576839669071376068855949556294910494	True
11	0.245144948078541959618771248330092711	0.165663570879648336434348964228101326	-0.0150970744277544809159472907136181426	-0.0197222151183616502804986773560006738	True
12	0.571933319868828062742989105625857916	0.371143074049075693325478416488418981	-0.0158571725896297891940256382839008912	0.0123106435831117789298444730745858914	True
