particle	x_0	y_0	delta x	delta y	stable?
0	0.285897363066853111977607081135744578	0.603696376617525671854665900321274488	-4.22164525895954924220085726797191832e-05	2.62352688138694274424335206692615841e-05	True
1	0.10560567096975908269792080375864203	0.697177071968539932710859689256005878	-2.81127780056126435729956139796877061e-05	5.62439216376002529686071888513178293e-05	True
2	0.122890686265413818964838962601547738	0.419016358013005240643545835245691156	-4.67003813978678591161998809024609676e-06	3.38698624273457837374491967945570963e-05	True
3	0.482551378073773150305813785385466257	0.584698048176687862042897112295655332	-1.57421890953858694831651886285235868e-05	1.24078911946016954106532409227367966e-05	True
4	0.526432972258476493619247001712108595	0.810574932150833086864883749533168918	-1.01737467124302884401437773400210308e-05	-2.09968788217162902815315711590173782e-05	True
5	0.196969395023623801926347300749348015	0.00467562925653257909321710053877180103	0.000123138933978069513901498046703723761	6.08174201888807722287021272756635531e-05	True
6	0.973688661885606483980887594440283725	0.858939002210876682776441476293668964	0.000121701201981969688357458566645145547	0.000242465790999440696759198499139619166	True
7	0.453989686953035232641612995963114624	0.980675582409936855044493166643291938	-4.52137748259796356301036556001612177e-05	-4.35810972077750048073724005460312621e-05	True
8	0.104245367933107450552883257430360331	0.853962872876652292065637642836926713	-0.000109374031166247128540205721575907476	0.000118049179249317280797464031203023796	True
9	0.579287634644696823418210898215366568	0.602618524738070915942347751931708319	1.31026263454491864364112747863194439e-05	-3.65130209297112337997911546729318232e-05	True
10	0.354167048808027438470069556465907119	0.552194068903212465390816720579526026	-2.90533009864072094219278251619671687e-05	3.73465052598360911161499033525628247e-05	True
11	0.805584781824566624276280929240493832	0.309905564673352548379418100915538791	5.8521720489304559209661076502646849e-05	-0.000156822112086413053820006414812795947	True
12	0.110386024917676341202004844461808862	0.935423312308094090871202946874741597	-0.000125660453869424898911903034105845033	8.35153595097043635590577666414820952e-05	True
13	0.11331343044966375351454092705134709	0.133743859429190688064163422619889284	0.00011480724512607411927670133650984833	-1.03225408077930946682378490813069038e-05	True
14	0.156480816264035677660250327731116771	0.670405635643152653904981825211153402	-5.46284503864555977746985359947930917e-05	6.16702857490103864139938487553124096e-05	True
15	0.850148112846056680181797417175476751	0.131945869590912332341833149676204161	5.57213589415771910354543638107493979e-05	-0.000152841651560617412766742256023566676	True
16	0.612882326478329699829586968522513769	0.431737520925056407162811220199146577	8.14685565688043847940532610508508719e-05	5.46826498052712728552365944642929769e-06	True
17	0.758399186012065396090161428933407493	0.338708212463324203733223085691499708	4.77938580370067646311871876889996935e-05	-6.74123924945866847938373791086418077e-05	True
18	0.0539557503529787041669008731288075292	0.282567762970542028855595078336423059	6.2512114586770968895103842295302526e-05	1.17087140041336390362005098798570749e-05	True
19	0.756122639333944934347438038205297684	0.982600690303434895960302162582033599	-0.000156378960504936320890598711549903289	-0.000126777799961290510213548380616302178	True
20	0.667443092526544582248595386013285324	0.531614801639345670832550892454713761	2.24193373373821231639739113682008435e-05	-5.39876763747839849557050002589253355e-05	True
21	0.198924251248073442022682177925253158	0.202410890370750346386280262086830065	6.61562228252177152441238792265546267e-05	5.81630642131599443518508139566369435e-05	True
22	0.940671984664374003008967818880465199	0.5817443762217591433577249221890474	-4.42962364146191491245747730603087934e-05	-4.28297616275114856065667293142115657e-07	True
23	0.2690596602082531415346324469958494	0.905907246385934547099673900986579198	-2.56740783430217445990092727745397833e-05	-6.37921307252812548247424738761593398e-07	True
24	0.462892204480914523410887975407050549	0.886469350530050036721463325756319318	-3.4699917744667839222433362338919074e-05	-5.60891186503308927374211967117330853e-05	True
25	0.59172250295139665827010461591910237	0.491749549055108262410027972144162258	3.52966189781615982194608443848149542e-05	-1.49744207089328114915945993377259006e-05	True
26	0.643378393435233898571475423989606551	0.956278737832382434685492459747843392	-7.84963831141868206199001003336637236e-05	-6.37300046872933608596369210396567246e-05	True
27	0.968240708445643881562612613868683908	0.572954785900485556499643395689754616	-3.02011592662010833521713518705013812e-05	2.96710160413739674393093559576299305e-05	True
28	0.627879935383947970112061275966755868	0.193156556994125787883472669151044003	3.37514096896607436630160736305929598e-05	2.45798053184396145737243673345889341e-07	True
29	0.0604437495716953246667953567235636059	0.0147938594632290350632061193025282929	0.000272765697352190296477040349648982578	-2.7982501987835690155096373204365171e-05	True
30	0.419542644618667523064619490704129803	0.154691074235302053307637862129986556	4.19259411228847578482945407866073156e-05	3.33264096659014456432216620270123202e-05	True
31	0.165414732521366535861647714766882033	0.0224690645173497353949196857293754055	0.000139930610943109409035941445339156441	3.80795828978939474599732133534711829e-05	True
32	0.548253595672813878213901270084511188	0.664101942800960031521587546574076321	1.06329435158710964494572140367023942e-05	-2.51988130884967366672469726171162703e-05	True
33	0.100569189192249872321243739566283206	0.579121294489043315356476123862607686	-2.86994212400873049037788894319231733e-05	4.73881962323282744365440578425915516e-05	True
34	0.0315452853473717081677725692527487729	0.641699316723748586544511603045687562	-2.15258104861706293974937326772956514e-05	2.69020074649453635271713885428158771e-05	True
35	0.435584939600067990076190202580178988	0.504299657003166132039097077184424688	-8.86450039851843146280664923837689474e-06	3.89200664568335493429946912482970374e-05	True
36	0.529739482606381363216365427869135929	0.274720086178657294662766406518305517	4.62560666227307682498972101754146061e-05	3.3061333479311939532927988060901091e-05	True
37	0.167120236652154934673056616979596621	0.71540863927441869593778950112132348	-3.13635944430760738058405571803584856e-05	8.36267514215723855345917430349255256e-05	True
38	0.820441118561105963914396155411228921	0.555336452815473074626531433199179806	2.2375291251394919627054221066748648e-05	-1.59013410310783862078462605933163479e-07	True
39	0.294573400575404238879855430341942504	0.371729599225291264610498166852570097	1.42452800758210793439462834800309793e-05	3.04277479038856573847735195494546748e-05	True
40	0.896372003796924943094207370868481159	0.498440673045630180343524237882170093	6.39750146620878411648957721481067555e-06	-6.30526414672895818990621510651471545e-05	True
41	0.336155940266954868107100529455043036	0.658180647900529310488270539479937601	-8.09003980926492861369084223878959663e-05	3.7220652813993772988361294815217386e-05	True
42	0.542968200284841369808670371037925791	0.453895609663011966410730412784944479	4.60552917304149355429369738551555597e-05	-4.62066962294855426585124195941677527e-05	True
43	0.941801711813378237331106483341722946	0.557092525347171789357425223732028709	-9.09461300778746202768685046094557995e-06	-4.60876635613993210130025942538573069e-07	True
44	0.500366481047120233289075588391940137	0.82227210541901382311797854269454355	-3.05678842459537485828967632516086962e-05	-7.30913302745853817852487284584566795e-05	True
45	0.951548567094629342280622111466935443	0.605762650437661438272109943673193184	-4.91865884071454390929968520592286286e-05	5.25257131301638975282386870615087805e-06	True
46	0.834759180670040632802934255796436246	0.934973380345227317358060335472101318	-1.87009838631324110319029897598143641e-06	-2.02768339338966084711399445366607518e-05	True
47	0.205067103941846435249380985532546821	0.177855756909307659903257934481182265	7.54236403017589877941039993243676687e-05	6.90493006513997262376811280458609132e-05	True
48	0.860267691139505049957223679917304109	0.892844327619409201490452291868540922	2.45961693123451218071699097467946013e-05	1.77586605427237863945825818337919845e-05	True
49	0.471383156276901618459508157757184388	0.9484843491243014866583531380631889	-1.8831571752966471597927886216854918e-05	-2.76647113175302884207867363215331977e-05	True
50	0.967338642009297856676716213253293508	0.459594290270792544910403127503007966	3.46864867142906060017929195755751864e-06	-2.09143779104956404223744978060383331e-05	True
51	0.62270484504040644236827231857681988	0.991609217545002289350026947228745024	-9.16282894769260567010940179608919344e-05	-6.88113659935723139270700644664880014e-05	True
52	0.84947885233262542399843093984462389	0.7892544529624223013893613012872906	-1.04320059158484239771697190570169974e-05	6.03363117025199963115886820185422259e-06	True
53	0.572516848458190243983986701691820183	0.433917218932004528827514745884011052	8.64111638756511510818508518938874152e-05	1.63731460478490601645728145910323418e-05	True
54	0.361235993961646238270716750140913966	0.926018335270503982342295026053034938	-3.42415252275118482319746813733901189e-05	-5.01005078474331011332123084145151694e-05	True
55	0.260196358528741616817899868301287476	0.378147596244932261337498462924964289	1.81849050217499066258618193037094691e-05	4.69079592785054346913632892840670444e-05	True
56	0.236733889290594619739620551495222159	0.542752531771982547134466636409120494	-3.38465572588975769456272649442696263e-05	2.02505807016355099426739365786847945e-05	True
57	0.656899485911258490300159249652249375	0.860908910390222460383882405134892159	9.93496315547909107884996331729077603e-06	-7.37955426975646868076574714101669599e-05	True
58	0.821901256668846776382798444678942281	0.991042233045446251596066865280023765	-0.000120786779816344095633744367820968841	-8.13834245181978316711033983672386907e-05	True
59	0.764464086732350136116640923187938702	0.0991986960069068117664359359249879502	-2.35333720300153986214242613314454573e-05	-8.10512671868006108290626841371713709e-05	True
60	0.789271784271644779074568557346326693	0.984741253615431126041638900682600848	-0.000110201657358497062069452296593203105	-9.15062246770142487991550701080120373e-05	True
61	0.357190580320616323567719536002784241	0.107726725420693237643911625737267211	0.000100209433237704416097046306873949778	-8.33855697488355023041837218528466057e-06	True
