particle	x_0	y_0	delta x	delta y	stable?
0	0.285758966192789829079909350014301348	0.60312540899845692467405789127696741	-3.74895106609025256431461084796281783e-05	3.51519688296893485838935762833654235e-05	True
1	0.104695789860278148019518022512030128	0.696700914055649568770675567230006888	1.96398202665008086554180047487993208e-06	4.14119860914361406489132973017019238e-05	True
2	0.122712405273169936719940972574561342	0.418808842721542543910337098643104532	-2.8953776936666751267656992630431538e-06	1.27577388735642141677779300994540705e-05	True
3	0.482096153396718886025628866280010156	0.585069374931116383805670134112617994	-2.54174554834877071762853797178141396e-05	4.0157816220040302478728319752721003e-05	True
4	0.526550324951991533468070546588376416	0.811082887131113900123450568928628591	-1.52198217516107732471268259975091769e-06	-5.33392465190558258422412695839140907e-06	True
5	0.197165918698037851916534973301407563	0.00456095441234623588826905677928353498	7.47240238247412620591627091223683989e-05	5.63691155104336466094802868967213769e-05	True
6	0.973490837383842158793784433845714405	0.85861500629250652523862759690714333	2.08391134020612727826379492742026836e-05	6.60388460695119241905366885692136215e-06	True
7	0.454426831791293180983742921697951243	0.980584172091666954102273423038617992	3.29747461457810035280670416329888012e-05	-7.06547131634955630466135451055757089e-06	True
8	0.10466765719546201402579650071804812	0.853582319872678515880604599869278055	-5.41970099096920444566613573184255832e-05	7.86158619057368593961919296639332815e-05	True
9	0.579522325001192104966006129243440985	0.602710880292637839884563885366850365	-3.49190115378390881508199531544958985e-06	-3.19250622083237564216211530812931856e-05	True
10	0.354134611743658619694165544866141696	0.551715633710432110965989074805629976	-2.75347549097146432165961359626913235e-05	4.33470703264078703506294956223854208e-05	True
11	0.804839977678205184502623244141449529	0.310582696277852528905136971326099719	2.06231691973068097662738604319607453e-05	-3.06829636552428715069531784472611684e-05	True
12	0.111128161102110559671044335572302406	0.935072213443792664359308294394982067	-0.000104926864911649393164417975296580592	8.76842232975085128950359733701298728e-05	True
13	0.11370558701090483663302940775636311	0.133643958676480699944053279869944368	5.11470355570470775447446126468606222e-05	1.04042150724455529533150941097167007e-05	True
14	0.155638019342376973183160928219603593	0.670492548641182535828609191444308485	-4.87450922389185625151674174323763227e-05	3.93123885737890710482178414057636746e-05	True
15	0.850546730800640049343431354003540477	0.13293070833526590710160595770850388	2.02277317983838513376651489650017767e-05	8.31072256171830828018900115760687924e-06	True
16	0.612880112022809711025453890959728765	0.432365679712491535152853515965501687	5.81499407428931388036579791095592118e-05	1.28754260911710420186472555256908367e-06	True
17	0.758090079295974822363235062181535518	0.3393170281689786061297391725671554	2.55796768291747381978252937822729087e-05	-1.94762553491539668020173382465927727e-05	True
18	0.0529647382444029864568306607525969131	0.282403422581290092839565229116787593	1.17555080702016331752188189784689174e-05	2.65492584296907700258094994860819961e-06	True
19	0.756498720681168044256354459970642062	0.983261704950200879842745684271082397	-2.99774927878954088170925208769262755e-05	-1.43243833313585941378537337552031233e-05	True
20	0.667377141012377810332027805894131499	0.531817757606747626867739645028652719	-1.02899855245029503001707056039400808e-05	-4.40655670221009810828831883061879482e-05	True
21	0.199277137352821412602247097203530329	0.20230525677151420799721199833909243	3.47435492795526515834859719061229686e-05	4.57417350833502478084802872895326859e-05	True
22	0.94096950151720710297047691304565885	0.581763005370096266998459077371253873	-5.00741095682313342993759348401797634e-06	3.13031706905313638330314500456664405e-06	True
23	0.269028746450852470997702447788886533	0.905657455315774383429467177570495842	7.24042063344886115700415795593636059e-07	1.07542036170355293510230292583831975e-05	True
