particle	x_0	y_0	z_0	delta x	delta y	delta z	stable?
0	0.339325279725656820852919895327162014	0.601842465482255865141178661954051638	0.0593094544641956052743459732417381459	0.000426848534650654501985204982789878915	0.00450782887841406529005761663987815252	0.000946216391574562966150801442526599843	True
1	0.705520930441423626917301925305250631	0.349119270564835911105602678156304618	0.119593167303117514959466030416726535	-0.0012282873652716049844822033691585391	0.00075275257966732661863871447569470249	-0.000363947636138796754203767922744631513	True
2	0.642556992103806252003939655051109807	0.722563463797418472006193490288004621	0.385080130271866432462299569424066356	-0.00160253581456989863797269869394889732	0.00298444901441128821016703683857491347	0.000393046522961041598183076080130174553	True
3	0.988581032922133581258371894728226836	0.0465548206095744850413068548650050839	0.318770829520223904368966782230861975	-0.00295681741891562852983338373761165725	-0.0074547672475912945911994572978929223	-0.00205360205010202615137988873742155685	True
4	0.899603898260191745308561577548072841	0.754189816629509866473487821570242543	0.0181370536021137251706600891149714997	-0.00207705211225059071577108431595188343	-0.00471621237610898300444032306508430499	-0.00141415134575489944706755723365243572	True
5	0.122683672507171454800839867556557385	0.223428352299771068772675986476320565	0.932201127452588226418458479930863768	0.000235088993956783346243033554537366892	0.00325429974137073997659992663745942459	0.00338799280682892511935204464036530141	True
6	0.0594521855816440724714855985014507112	0.491458108489606011344881082723664155	0.35476662383157689164235318902294416	0.00532557126672418374372394015654875793	-0.0124903477625692685949465570253576599	-0.00426745220014788316934290736034386732	True
7	0.771937980733517624434659625557326688	0.0425403986422265391127834631617012215	0.68972490386069288222979462048809814	0.000204920166734559204192975953049321845	0.00135406852644415463518706617240361135	0.000589614935594790827787516895831510641	True
8	0.831459329932174399835259697674599474	0.478909477205892239669257426122090278	0.706759308700888976553240511500116641	0.00270639930449452375502661251560432218	-0.000406462631671319105302999044152723612	-0.00470043225494080549442310856070211343	True
9	0.494449424687083344777299978575505531	0.980854435770755980922362040812603879	0.997273415719770330793356776695736585	0.00109021659949776115069032010302609275	0.002557741447406020967447107785123581	0.00145366935029233568628317550712112446	True
10	0.195090837677158967564894073420643433	0.840687026467265592200060497270525043	0.675371282858929153107027782154572342	0.00024001733643053894971274977853256017	0.0032927021372812920261841315327964511	0.00248973889465328622989749509248278662	True
11	0.397316512208573801846489630092192106	0.448580772117020226944692458412046521	0.652064724315528548422523662554416444	0.00104585403996379360278773320410244779	0.00305942686398312967661746458671202657	0.00269829669714339142256629437565413654	True
12	0.428118414934876193257613026226379811	0.114596719335254024151993668362965586	0.397103706181095869137095113887791141	-0.00354839533251041173119521477138475357	0.00348568390531161097626794539093995253	0.00101992391005552587415341260454597066	True
