particle	x_0	y_0	z_0	delta x	delta y	delta z	stable?
0	0.374777002577017826215933657048161463	0.589373446473580538604380584340176317	0.0404458114425951789221537253621819071	0.0168942703299218687387296060822206771	0.0449489422024608678428862113997948234	-0.00506666776204122337443732587984048991	True
1	0.71905003155719794360048214197366894	0.346614025311438527052391173768856373	0.131537219937219212557378780523032659	-0.0175288455751234935214965074938662569	0.00490781789658969978868824232648414527	0.0132068409913741477206512530650159149	True
2	0.65345558776026862481477816029640152	0.707448362184911999708573602881175751	0.384860839027533418361506245583091665	0.00609913522619183247350690907660757249	0.00180677923569808504690870716291701723	0.00938654212562480433785579115889115458	True
3	0.0084784557152511296485755701883998095	0.0843517643468487807584340257592684533	0.346109256777586038860722709486347097	-0.0192728669722272948737121521053646899	-0.0217683475751957144442035656124606954	-0.0036625506322188559515014931121262806	True
4	0.904457701340453728389230000001616289	0.777053284304198610086002961789502841	0.0298142175734091102857053531135597857	0.021627220797504745609828033948089987	-0.0262544511174726934255842960244462866	0.00191873325882387471857570338181970163	True
5	0.0983319654052569714577601494891780187	0.221591597617039553049556730915252708	0.927419859772577752155548770412874435	-0.0108795983472899836615744843189156148	0.0493238020270944415786631599228085632	0.0288714605396779635026110197020784371	True
6	0.069245126825867161577212823585778139	0.537380747797033576223983112183532614	0.347568314363554713926379169399331351	0.0197516536510777108818131015500568025	-0.0319404927176427706938427279739033329	-0.00292820987871463052349495694267537965	True
7	0.763351146887022543547277991057079182	0.0131597697436883978873000835210143905	0.697233870327462144723643454824700621	0.0111344626474323087258026735333752641	-0.00437197018365130781739326471410220799	0.0190562652618659160275153610372892275	True
8	0.823805691181139682015255272070418407	0.472719513115526783175152522793118367	0.707580506628993923216126952834921984	-0.00177174409567729041392662254822060584	-0.00752912525897544855212784514517917807	-0.00878375672234854331124114184065116682	True
9	0.453750034080045786453234615528318132	0.0114695428162495762396401052487191123	0.981938608802766332944413454649258367	-0.0251970037885468610187041896360915008	0.0450788771178654290190574845160314761	-0.0368296492616992813040152873879434244	True
10	0.175889117261670952430781560501012392	0.821216112473311436081822213040455882	0.678367593428783080152086453481119854	-0.00109330465976648008840670194985741311	-0.018627521455598305364282921397533644	-0.0147917321200115943002407374588902573	True
11	0.381869826171732808185232782572919209	0.432129141229666556649981577263361023	0.630772046221073914150775751626469222	0.0066816886956777714866703406913576934	-0.0200421582287949372493383381039072375	0.0140210417279431508862650110760999854	True
12	0.449648981813126301417433620705169286	0.0794055147086370578030851935425837159	0.403119699587649894810215919500924381	-0.0071500969288752421602465823491950615	-0.0150443782203590405903572348568898098	-0.0121032069940930136073001357034256474	True
