particle	x_0	y_0	z_0	delta x	delta y	delta z	stable?
0	0.356223604963546326114287820012595588	0.590374801319654103366312511040819669	0.0414767025595890895268351720467049094	0.0298080771716476802192167498406588312	0.0491261037845717232269007098780217552	-0.00646808521159983080633480179660177135	True
1	0.711044808167689506085016950712180602	0.35286141612176294704762364485202741	0.12344825513334562562692598353344331	-0.0182805452910787961123981770284419568	0.00386177574539697197833805950434227745	0.0187295925659187070157046384587912667	True
2	0.649309165319208403745920135545710298	0.715884212470336961182077825901379772	0.380411385953243342603066657728475688	0.00752032161155890021970065416912826039	-0.00621388250234640444410024712651838793	0.0196548032165969330302269642238958541	True
3	0.99584248360738184153503403200648773	0.0802988029069269159591207065412638671	0.337944998244748626556690440202334154	-0.0136058950530526835437409377116586827	-0.0200905665233811658445813203308313548	-0.00317155744930674945237184420622157469	True
4	0.920633338163317734605114965928024462	0.767603457064408812993637471619934553	0.0268831876179598612641551538184714428	0.0038838201817045092610834961602216644	-0.0204952579256913624284292769518282237	0.00363749116167444786865617028863743899	True
5	0.106385162200154145088602538805484057	0.216074778124828712426041174315904348	0.925257413329713905413215319564011596	-0.0143245462590282704118254850888770605	0.0580421722817852365955178696398851799	0.0366731288152485627496483724659079021	True
6	0.0618290982858112837737014109502757786	0.526022808531300324820848571115285761	0.35331444933597910837310712080575116	0.024675066040339885135639875008454449	-0.0273277071633111741723747657770282846	-0.00833074636969469333179035256401608714	True
7	0.764946582014544817492525735619372289	0.0104428849578273667178974751944340555	0.701631546219950742697276535699537477	0.0190658136799757326631365086154404082	0.00492142271582692608709252960739542615	0.0153797783155655087404467928307783284	True
8	0.825713677619812954701782788198946628	0.469561154764752164299160327561056484	0.70773815457049494929415138687477415	0.00096981923807763430075110093371150905	-0.00456261738482771135823526557455109776	-0.00688587953324154218363918043326056119	True
9	0.461930228023142934604661218288811854	0.996042596026073233406656171386199254	0.997909391322284115544841799857699563	-0.0319021413357540809275828567288505928	0.0534804532043199961028271240966054076	-0.0519260492531764480659051314872487897	True
10	0.18642787117304390332699585562639878	0.828668927396988835890044156193785193	0.667728804528760684078770193818952756	-0.00777844593097915540110766660557811349	-0.0287735863356234442724802274963525331	-0.012638488006765432352514193298829507	True
11	0.383479098428007071656845493839913102	0.442319097404969589565640695020793268	0.634449593045785383518359334256528499	0.00542678375400769315900264610497212528	-0.0324775269682679766842441062422788356	0.0136005584647840406480753732321487054	True
12	0.452354791806541473009402217145285452	0.0982839158791953444679085267734062406	0.408040874747882862105798996973303951	-0.00607260748970147796607575548759896101	-0.0293747828733930090766017002085001323	-0.0156046802295332865044092925661962514	True
