particle	x_0	y_0	z_0	delta x	delta y	delta z	stable?
0	0.336873952106343282583020259770088635	0.600288275635112177280921852586635056	0.0634218040314293444413895997296407132	0.000570718014004382801114855806851507544	0.0113045723757192681471087413834338986	0.00301670029768761687995919099573836684	True
1	0.708666150579572108359505694472700599	0.347770263133224324969916672961925949	0.121083975646234484040326117401058997	-0.00288220766329240231457805732279740503	0.00198345849957094540857155202768900508	0.000561001208620430584786743935329646199	True
2	0.639057795210834233025579217733848279	0.719357319024368309762602293008439976	0.383484661726158804170393669973497614	-0.00190393166528723254254875911362163044	0.00892609166917893789881836209195729412	0.00025429656716543508405276317493166627	True
3	0.996184515323713487860020264103369682	0.0479376978714364722899814972468645777	0.319707246213754358302362299694053354	-0.00819627451976321752298247946773532742	-0.0203595021793925369916959183906657458	-0.00526259914272944213550567772631644296	True
4	0.900681044859733427251612871932629517	0.756911025471696011826164749590111464	0.0199936393372887417954819435855596753	-0.00459716142236867459091827720359887987	-0.0122571859883449041345277707858220755	-0.00514188273572257709469936505314374979	True
5	0.119314467142962399329495333368668951	0.223686245343110803120618125634625764	0.929717655138832871020625781916224138	0.000811406322159309927328053061320792061	0.00806977177482329979092107921849045473	0.00867808017969980612336350339145597516	True
6	0.0590455095623890386546961548033245273	0.496502161762430414926924014997106371	0.361336799173370429090462379079880033	0.0134499554781251473628317084078796244	-0.0315462470551208102703510418548252736	-0.0100626478161616361418300873385197306	True
7	0.77200963307600649732200212581481307	0.0419163912572347352573973197038794414	0.684628945725462785951718277247724527	-0.000314340340887511243801856962012129386	0.00354741663178331207542589083203131926	0.00148884065774186963659102497924611246	True
8	0.826439786584123713797783923635517351	0.482595800809743691751136615208675974	0.708957055742091124131112289092738509	0.00695745215274892883042066000685896122	-0.00196396299813168706363235149420221577	-0.012310315126739381709042266757630073	True
9	0.494718606203427282937727624045469662	0.981168836304629933367818629042736268	0.990101656792206503266670543795819399	0.00279949621928825945829511213061414327	0.00615358479883951748863609367870657178	0.00426589956443392732375770648536453016	True
10	0.195610199580833949287395785903071299	0.839220415163941196657019205436016616	0.67543803499729003739814576250317886	0.000446667050874375745551387828348208725	0.00890136112985002075547089728625264778	0.0061774643453866876194684350642100882	True
11	0.399794919361306205056436829822173335	0.443357766115673246825346507230010467	0.656311293738935490686954794371006074	0.00297309297326008626070942463295207302	0.00860071820378059440316339349159059265	0.00631597388681983881978111592045383776	True
12	0.427951083298317141325401337290208254	0.114516487543851422375049099740693209	0.391937601354068467352562168615927311	-0.0105687695912976406960967730809637235	0.00917465313048043094413214565976585731	0.00253785354784012526508323466503372228	True
