169.2	1.006734693737139e-06
169.3	5.538828477584578e-07
169.4	3.2211445586611277e-07
169.5	2.3703853303186414e-07
169.6	1.9262411455146878e-07
169.7	1.5696114287316588e-07
169.8	1.2769732368367482e-07
169.9	1.0346507895458641e-07
170.0	8.332898843030539e-08
170.1	6.659601900958715e-08
170.2	5.271916819821013e-08
170.3	4.126237347269271e-08
170.4	3.186001175217607e-08
170.5	2.420723219622452e-08
170.6	1.8041657719314947e-08
170.7	1.3138597111016049e-08
170.8	9.301540440586146e-09
170.9	6.358950474862146e-09
171.0	4.158453912141225e-09
171.2	1.4647343709657724e-09
