particle	x_0	y_0	delta x	delta y	stable?
0	0.932710441661652947784318719366502769	0.668556981573678149043712368618232079	1.5729678665889478699261601323113596e-06	-1.31722221581921879079579913919598121e-06	True
1	0.267701739669605450159177384885211958	0.310712085606272507687654346254124222	3.46074248522090924859545114211278169e-06	-1.32500339131621112021980758434867382e-06	True
2	0.598994972863516926253429563202743616	0.138762440481387335837976630844492691	3.18153827983675929658493289348324708e-06	3.3151867322357492750171280478065531e-07	True
3	0.468701662542854901079253925396650403	0.997443355047737175990144415667084635	9.86950295899055512172664140727223496e-08	-1.09614032811658881363203638587643364e-05	True
4	0.0928169813039057386908774021182340115	0.189670955496128495860832766843231286	1.59583428526558053369389457809377706e-06	-3.41657649200793057150809599646194975e-07	True
5	0.855278645608059443265808494877402607	0.0938863793478769256302752271328009398	-4.11411893719648881217923362992278724e-07	6.95520254997196274343816422871698922e-07	True
6	0.543382810733529993733468468435486716	0.940127051687332270377188267162862302	1.41217804221513819556403887888490454e-05	1.78646507300362458100366771375978613e-05	True
7	0.304300621283083171495487086517693898	0.972774027953714393667204238259684149	-8.74170373900972159533698926696677263e-06	-5.13162982683645699717692512068283695e-07	True
8	0.793184614775712435052054876248140754	0.867277107839210745541779291209239632	-1.68247224037986120608314181227523081e-06	-6.39365225611150478473308472211655956e-06	True
9	0.0719098788723057724070831515198387987	0.53115409098874194470947825126342692	2.98368088849582908585740163111236073e-06	-1.62443459842332213283242436006644064e-06	True
10	0.805518223085967324512512791353084067	0.333720987913452763641602561161592842	7.5510866403644505226835840376932336e-09	-1.17405943132668997467786393159006387e-06	True
11	0.752161317282684412424935616132173759	0.714216746237080364243054725456224017	3.34837677323095074900910964732397921e-06	-8.61844118737991527795519630053592962e-06	True
12	0.324440171790683953094681843477968835	0.219768917273643498788098004506933826	3.44446365804452449648294903228999581e-06	-7.63744940846786983909600617269293712e-06	True
13	0.485403963848468566225805068882915555	0.925624159183342211189794304985870455	2.23882116734571424248829401073932534e-05	-8.29155342722211351984874390888667632e-06	True
14	0.0999404060477851865253190259387848139	0.64843065218826449709581512345127103	1.1616280123154837465135186280554957e-06	-1.63107592909584575285614958733190897e-06	True
15	0.377211987778617508482198324286533154	0.362838545343907746693261515217148421	7.43925854902049408617904935851151247e-07	-2.54342982738648087558808505946260572e-06	True
16	0.37311519421130537707238428261665599	0.721930882179105492690991403115198031	1.63751043963209320215558959952127423e-06	-2.62786591054641581345174919087078356e-06	True
17	0.764591626502910435773893970590018852	0.0429538489938266018986834398426346884	4.12869742561721489879764557472830886e-06	-2.41662953512679292811082079316788642e-06	True
18	0.79513284816068228038012402154904043	0.269242234969302851523015500612368195	-3.97513722079096068855053095730095751e-06	-1.13211073961947058027620258014267757e-06	True
19	0.640059062026682969375541926817484983	0.706886723443633282869859691788350225	-4.37342225754489945738464971015173152e-06	1.58743275929710427809964565400133216e-05	True
20	0.921125542515048922930948942876200693	0.321731643288868336517369559706687897	3.33834625043292333899949626801109267e-07	3.63143730476395405355052002814789634e-06	True
21	0.749865959304724853196787080596764432	0.552899722172376007809063198722261858	-8.24711238158100525392793496912033798e-06	5.22642128703503511961656756092756495e-07	True
22	0.283696340566738071301561098915554184	0.13952578817727465264366799356878843	-1.95355179956386724692955877094572498e-06	5.8752035533110797084730367986928073e-06	True
23	0.297962697023053748760736768314700252	0.0784600325750224323341062268058638692	1.88333429379417003537648283768423754e-06	1.19091805614376704534472373767925508e-06	True
