particle	x_0	y_0	delta x	delta y	stable?
0	0.933010495739047033583820133174476167	0.668870133579453782469793050905760654	-5.80869508216988201416824749280785199e-05	3.44774323054613860662433482141280918e-05	True
1	0.266964819714478976876713320016912928	0.31067889593777104541232820207920164	5.9548405458340006580499636273683119e-06	-4.5589898286574866213813396689732051e-06	True
2	0.598343419420906306173879375927182156	0.138928956551756307359356490473537823	-8.12485658424307236655317981708959883e-05	6.76968591452513614628189037299760688e-05	True
3	0.468565278476347646390584717441460823	0.997338616083734499323141556055967004	-1.49263202907017678715083181758141058e-05	-2.94323874329264485501550676612152519e-07	True
4	0.0926908704390320255684554627027827004	0.189708908291330256433367092572352664	-7.30609562086630215302440763878818107e-06	-2.22824482651706348710106809016058291e-05	True
5	0.855087730351334662739772534308214464	0.092718747558225724628041971375734914	-3.26430551133889825588356500110075985e-05	-2.26488541279052706507757185236306728e-05	True
6	0.543280824733429854886643547072775022	0.939955778554875006501390767766866667	-2.37451292845640203098428261879870196e-05	-8.3424703051228032305748957746390066e-05	True
7	0.304164036917402019152299583129534205	0.973780600925159035647195787046060444	-2.796476769257662114558679647569691e-05	-9.83854321334384280409272572395166825e-06	True
8	0.793084959384782649262972987027445222	0.868091744261352148587791061498897932	-0.000129104345403704106336303073672365683	7.61944029051224382286478044941958326e-05	True
9	0.0735047849903407520932481336098369825	0.532421404481140515326753733523432077	5.75403037678253791674670100494420501e-05	-1.41194370309637729861374453083732103e-05	True
10	0.806236163874068104988453170182835629	0.334050499013474885246544387856848389	3.13563287128347843052954756834185697e-05	-8.19442634837297676911954383312850079e-06	True
11	0.752131236544499050347456093777295931	0.71432302864415344642665456619608013	0.000160428896735504979169200229272837157	-8.82813412929986704389609062795065909e-05	True
12	0.324459558710353414923944423274249219	0.220080254147712698494151504726486911	-3.58416605654791586358609527746029746e-05	3.49089958198632848327838526941359036e-06	True
13	0.48497520738290534338161929131282645	0.925735027027370587634311196681776232	-6.04210369989676912251221127989495937e-05	-3.76462227273292226885066112878386436e-05	True
14	0.101645245478787612288383329180586939	0.648998586896808702113851297660122308	1.21751944043130087680175006568892316e-05	-7.16613166579955881154355266371426427e-06	True
15	0.376420948744846645347925986202915733	0.363326662797201246054334935823672923	3.19551995091576244471474567068586858e-05	3.82263136186799499754290665220198656e-06	True
16	0.375104592376205091067593356622371898	0.720479004373146758136335399175538855	-1.27304728884526261780385096389396169e-05	5.56144757991295784392796913289933459e-05	True
17	0.764273669416860658132915385493572588	0.0428660907503659465536100351022785105	-3.11885409420759940785683054517903448e-05	2.78489542752358876491520146334422746e-05	True
18	0.796429803670664529201852740919070173	0.270313874175629884076401120948472908	2.68945899874902699410791406521675821e-05	-1.43289618651953159021906289129587842e-05	True
19	0.639661115939613438966531949762891384	0.708505270539261941427699812055360123	7.13081576589449746479743975143082111e-05	-4.78484006822427317004649485098676958e-05	True
20	0.918036140072595837137936775957881875	0.318735426834620308300223382980485832	2.39214293522499220366180489381033378e-05	-3.24755287995445880709543611601770379e-05	True
21	0.75038299670667823029282105240545967	0.553806693611062481528700748785587757	2.78765721679193118244062994565670378e-05	-7.8974565738218394612454411180370344e-05	True
22	0.283376850933317441059164609867487221	0.140205491755179108038458311476290963	-1.58946656475349809794350620409568966e-05	-2.27076848489526142645766501354132233e-05	True
23	0.29836875155705725109173750144649919	0.0786890761639764086120551859437747627	-2.74868379499880374312980762179502015e-05	-4.10406827832680932030386946468216121e-05	True
24	0.367613035116906746199340743263342957	0.481026984616746955857465397608232337	1.18602588626189372932742227070750333e-05	1.94578652086647331334275236511505891e-05	True
25	0.509235933494000581643541418774867871	0.191343335372573550325184154448823959	-4.70566103385183661804481185657877307e-06	5.24662917387634611872860515501710309e-06	True
26	0.030317732121836430471970966145021166	0.0869907551591093656188976112662251441	-2.5141628023036369784148481337453482e-05	-3.09176999480924033821623173313914128e-05	True
27	0.466672389450169188882717808287657713	0.444493460772821140855104509896496265	3.49575783603549765512187667380330412e-06	4.88607063230366166868658813610241086e-05	True
28	0.901125695241335702661410038838716906	0.856890491660277712764920562123635633	-5.82830423683000436314276054787244531e-05	-4.75535591855477934194718048612285648e-06	True
29	0.242429196450589613239660588461379386	0.921073227565581033471781860458716944	-1.71336435518372813944648403215468833e-05	-2.13187384377026403203550044801430646e-05	True
30	0.693626078830566702758770852528888566	0.0279500113693403414620156043291070143	1.04687610534068412925303636857715458e-05	8.8288512503981926853913886894285292e-05	True
31	0.251848901338343103391757861086800461	0.712873128548710593557951524971001882	-1.64352876749785875835060224144104195e-05	6.57282753303272877820584952248394452e-06	True
32	0.895674266745200367774782903937606455	0.616815871304334531669090593322433892	0.000176188388382238330735552401757061281	-7.37261288091541137478112161408803087e-05	True
33	0.337117752036579033920095241123320072	0.981480758241800655742193784891080699	-2.07607511301952347040551293978338982e-05	-4.5231413063779202707848957209171418e-05	True
34	0.527289761666101822981808719936469212	0.867232407654027637246558235537909081	3.40290981266533291634642013055604804e-05	-6.32708390992427783261270097883305696e-06	True
35	0.114852993379964216023253437500390594	0.732416334602181125380805542006907246	-1.59327484673439439378831083188833008e-05	2.30462673516093940805289363434427387e-06	True
